IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.219.191.110,2096,2096,true,SIN,Asia Pacific,Singapore,99,4.90
47.236.93.176,80,80,false,SIN,Asia Pacific,Singapore,105,4.80
47.237.121.38,2053,2053,true,SIN,Asia Pacific,Singapore,250,4.77
47.237.125.8,2096,0,true,SIN,Asia Pacific,Singapore,267,4.76
8.219.122.55,2087,0,true,SIN,Asia Pacific,Singapore,64,4.73
8.219.198.139,8080,8080,false,SIN,Asia Pacific,Singapore,99,4.70
47.237.95.13,8880,8880,false,SIN,Asia Pacific,Singapore,257,4.49
47.237.95.13,8080,8080,false,SIN,Asia Pacific,Singapore,253,4.46
8.222.167.147,2095,2095,false,SIN,Asia Pacific,Singapore,60,4.37
47.236.102.102,2083,2083,true,SIN,Asia Pacific,Singapore,107,4.34
8.219.220.88,2083,2083,true,SIN,Asia Pacific,Singapore,178,4.31
8.219.193.202,2095,2095,false,SIN,Asia Pacific,Singapore,118,4.25
47.236.158.158,2083,2083,true,SIN,Asia Pacific,Singapore,104,4.23
8.219.198.139,2087,2087,true,SIN,Asia Pacific,Singapore,107,4.18
47.236.174.206,2087,2087,true,SIN,Asia Pacific,Singapore,104,4.17
8.222.156.242,2087,2087,true,SIN,Asia Pacific,Singapore,75,4.13
47.237.125.8,80,80,false,SIN,Asia Pacific,Singapore,255,4.03
8.219.49.65,8080,8080,false,SIN,Asia Pacific,Singapore,65,3.91
47.237.95.140,2086,2086,false,SIN,Asia Pacific,Singapore,262,3.90
47.236.104.11,2095,2095,false,SIN,Asia Pacific,Singapore,111,3.86
47.236.253.41,8080,8080,false,SIN,Asia Pacific,Singapore,107,3.74
47.236.169.141,8080,8080,false,SIN,Asia Pacific,Singapore,106,3.72
8.219.237.250,2096,2096,true,SIN,Asia Pacific,Singapore,122,3.69
47.237.11.182,2095,2095,false,SIN,Asia Pacific,Singapore,252,3.66
47.236.102.102,2082,2082,false,SIN,Asia Pacific,Singapore,103,3.65
47.236.83.239,2086,2086,false,SIN,Asia Pacific,Singapore,103,3.56
8.219.198.139,443,443,true,SIN,Asia Pacific,Singapore,96,3.54
8.219.107.135,2087,2087,true,SIN,Asia Pacific,Singapore,67,3.48
47.236.97.90,8880,8880,false,SIN,Asia Pacific,Singapore,118,3.43
8.219.199.220,2096,2096,true,SIN,Asia Pacific,Singapore,112,3.42
47.237.83.20,80,80,false,SIN,Asia Pacific,Singapore,257,3.41
47.237.8.82,2086,2086,false,SIN,Asia Pacific,Singapore,254,3.41
47.237.11.182,2096,0,true,SIN,Asia Pacific,Singapore,258,3.27
47.236.180.24,80,0,false,SIN,Asia Pacific,Singapore,130,3.27
8.219.106.156,8080,8080,false,SIN,Asia Pacific,Singapore,70,3.25
8.219.191.110,8880,8880,false,SIN,Asia Pacific,Singapore,103,3.21
47.236.93.176,2095,2095,false,SIN,Asia Pacific,Singapore,112,3.21
47.236.253.41,2052,2052,false,SIN,Asia Pacific,Singapore,109,3.16
8.219.86.200,2052,2052,false,SIN,Asia Pacific,Singapore,61,3.15
202.81.235.90,50100,443,true,SIN,Asia Pacific,Singapore,51,3.14
8.219.202.130,8880,8880,false,SIN,Asia Pacific,Singapore,109,3.14
47.236.80.110,8080,8080,false,SIN,Asia Pacific,Singapore,109,3.04
47.236.123.133,2082,2082,false,SIN,Asia Pacific,Singapore,103,2.99
47.236.10.182,2083,2083,true,SIN,Asia Pacific,Singapore,108,2.99
8.219.107.135,8880,0,false,SIN,Asia Pacific,Singapore,64,2.97
8.219.161.129,80,80,false,SIN,Asia Pacific,Singapore,101,2.89
8.219.191.110,2082,2082,false,SIN,Asia Pacific,Singapore,119,2.88
8.219.110.81,2096,2096,true,SIN,Asia Pacific,Singapore,72,2.84
